CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona_Renta,REV_Garantia,Averia_grave,QUEJA_CAC,COSTE_VENTA,km_anno,Mas_1_coche,Revisiones,Edad_Cliente,Tiempo
49021,8,6,0,0,1,2,0,0,1,1,0,0,1,4,0,3,0,2574,0,0,1,32,0
49102,8,6,0,0,1,2,0,1,1,2,1,0,1,4,0,3,0,1829,0,0,0,67,0
49105,8,6,0,0,1,0,3,1,1,48,0,0,0,4,0,3,0,1829,0,0,0,38,0
49119,8,6,0,0,1,2,0,1,1,22,1,0,1,4,0,3,0,1829,0,0,0,71,0
49122,8,6,0,0,1,3,0,1,1,48,0,0,0,4,0,3,0,1829,0,0,1,35,0
49139,8,6,0,0,1,3,0,1,1,45,0,0,1,4,0,3,0,2743,0,1,0,30,4
49149,8,6,0,0,1,3,0,1,1,8,0,0,0,4,0,3,0,1829,0,0,0,38,0
49164,8,6,0,0,1,2,3,1,1,8,0,0,1,4,0,3,0,2574,0,0,1,64,0
49182,8,6,0,0,1,2,0,1,1,32,0,0,1,4,0,3,0,2574,0,0,0,55,0
49188,8,6,0,0,1,2,0,1,1,52,0,0,1,4,0,3,0,2574,0,0,0,68,0
49195,8,6,0,0,1,1,0,1,1,4,0,0,0,4,0,3,0,1829,0,0,1,56,0
49199,8,6,0,0,1,2,0,1,1,22,0,0,1,4,0,3,0,2574,0,0,0,50,0
49229,8,6,0,0,1,2,0,1,1,52,0,0,1,4,0,3,1,2574,0,0,0,68,0
49256,8,6,0,0,1,0,0,1,1,32,0,0,0,4,0,3,0,1829,0,0,0,35,0
49274,8,6,0,0,1,0,0,1,1,8,1,0,0,2,1,3,1,0,24922,0,5,60,0
49282,8,6,0,0,1,0,0,1,1,32,0,1,0,0,0,2,1,751,10142,1,4,55,4
49293,8,6,0,0,1,3,0,1,1,32,0,0,0,1,1,2,1,0,7649,0,4,40,0
49454,8,6,1,2,1,0,0,1,1,8,1,0,0,0,1,0,1,751,15069,1,4,41,5
49517,8,6,1,2,1,0,0,1,1,8,1,0,0,0,1,0,0,0,22402,0,3,57,0
49522,8,6,1,2,1,0,0,0,1,1,0,0,0,2,0,2,1,0,16510,0,5,46,0
49535,8,6,1,2,1,0,0,1,1,8,1,0,0,0,1,0,1,0,32872,0,2,57,0
49537,8,6,1,2,1,0,0,1,1,8,0,1,0,2,0,0,0,751,20019,0,4,61,0
49569,8,6,1,2,1,1,0,0,1,52,1,0,0,1,1,2,1,0,30376,1,2,58,2
49602,8,6,1,2,1,3,0,1,1,19,0,1,0,4,1,1,0,0,29134,0,3,47,0
49627,8,6,1,2,1,0,0,1,1,8,0,1,0,1,0,1,1,828,10013,1,4,51,4
49647,8,6,1,2,1,0,0,1,1,8,0,0,0,0,1,0,0,2561,7412,1,4,38,6
49659,8,6,1,2,1,0,0,1,1,8,0,0,0,1,1,2,1,5721,16485,0,4,43,0
49671,8,6,1,2,1,0,0,1,1,32,0,1,0,1,0,0,0,1098,17702,0,2,41,0
49676,8,6,1,2,1,3,0,1,1,26,0,1,0,0,1,1,0,1098,22892,0,4,37,0
49682,8,6,1,2,1,0,0,1,1,8,1,0,0,1,1,2,1,4670,9021,1,2,58,8
49691,8,6,1,2,1,1,3,1,1,45,0,1,0,2,1,2,1,1098,25667,0,2,43,0
49739,8,6,1,2,1,2,0,0,1,39,0,0,0,0,1,2,1,2184,10611,0,3,29,0
49754,8,6,1,2,1,3,0,1,1,15,0,1,0,0,1,2,1,1098,8807,0,3,46,0
49760,8,6,1,2,1,0,1,1,1,32,0,0,0,1,1,2,1,1098,13836,0,3,51,0
49828,8,6,1,2,1,2,0,1,1,9,1,1,0,2,1,2,1,2915,19367,0,2,56,0
49870,8,6,1,2,1,3,0,1,1,22,0,1,0,1,1,0,0,1829,10090,0,2,40,0
49879,8,6,1,2,1,0,0,1,1,4,1,0,0,0,1,0,0,1829,18011,0,2,53,0
49882,8,6,1,2,1,0,0,1,1,32,0,0,0,0,1,1,0,1829,23887,0,2,44,0
49907,8,6,1,2,1,3,3,1,1,23,0,1,0,0,1,1,0,1829,8230,1,3,60,5
49917,8,6,1,2,1,2,0,1,1,8,1,0,0,0,1,2,1,5200,27446,1,2,49,7
49947,8,6,1,2,1,0,0,1,1,46,0,0,0,4,1,0,0,1829,13687,0,3,53,0
49991,8,6,1,2,1,0,0,1,1,32,0,0,0,1,1,2,1,1829,29430,0,2,46,0
49999,8,6,1,2,1,2,0,1,1,32,1,0,0,1,1,2,1,4372,32103,1,2,60,7
50010,8,6,1,2,1,2,0,1,1,12,1,0,0,2,1,2,1,4567,13479,0,2,42,0
50020,8,6,1,2,1,2,0,0,1,3,1,0,0,2,1,1,0,2727,15882,0,2,39,0
50028,8,6,1,2,1,0,0,1,1,8,0,0,0,1,1,2,1,1829,10824,0,3,59,0
50056,8,6,1,2,1,0,3,1,1,8,1,0,0,0,1,0,0,3571,29677,1,3,49,6
50145,8,6,1,2,1,3,0,0,1,32,0,0,0,4,0,1,0,1829,0,0,2,43,0
50148,8,6,1,2,1,2,1,1,1,8,1,0,0,2,1,0,0,2727,15524,0,2,55,0
50152,8,6,1,2,1,0,0,1,1,50,1,0,0,2,1,2,1,1829,25965,0,2,59,0
50165,8,6,1,2,1,2,0,0,1,12,1,0,0,2,1,1,0,2727,24513,0,2,43,0
50172,8,6,1,2,1,0,4,2,1,22,0,0,0,4,1,2,1,1829,28471,0,2,47,0
50185,8,6,1,2,1,3,0,0,1,0,0,0,0,2,1,2,1,1829,13080,0,1,53,0
50196,8,6,1,2,1,2,0,0,1,24,1,0,0,2,1,2,1,2727,13890,0,2,58,0
50217,8,6,1,2,1,0,0,0,1,8,0,0,0,0,1,3,0,1829,10376,1,2,47,5
50237,8,6,1,2,1,3,0,1,1,40,0,0,0,0,0,3,0,1829,0,1,2,35,3
50239,8,6,1,2,1,0,3,1,1,8,1,0,0,2,1,3,0,3571,14272,0,1,59,0
50328,8,6,1,2,1,2,3,1,1,22,1,0,0,2,1,3,0,2727,10240,0,1,59,0
50340,8,6,1,2,1,0,0,1,1,1,0,0,0,0,1,3,0,1829,13870,1,1,23,6
50373,8,6,1,2,1,2,0,1,1,50,1,0,0,2,0,3,1,2727,0,0,2,32,0
